,0
ATVI,0.03241671489769549
ADBE,0.04167525473945344
ALGN,0.011108272328777938
GOOGL,0.1273758111971361
AMGN,0.04229085968875096
AMAT,0.029584548180093442
ADP,0.0
BIIB,0.0
CERN,0.0029395051554723934
CHTR,0.05413210513470434
CHKP,0.015825075050921077
CTSH,0.055229513466574925
CPRT,0.0
DXCM,0.00840012125385393
DOCU,0.0013206595323852267
DLTR,0.01097069171878383
EBAY,0.030435327039235217
EXPE,0.012654395344854446
GILD,0.007992753453073724
ILMN,0.005944770995694603
JD,0.039363591220575915
KHC,0.0085047420334181
LBTYK,0.0
LULU,0.012206822980063172
MXIM,0.05571607642112228
MELI,0.007183368707373757
MSFT,0.19374150595897086
MRNA,0.004153600559321474
MDLZ,0.038436816612854405
MNST,0.01319857622150584
ORLY,0.0
PCAR,0.006298022050939475
PDD,0.008016380344579145
QCOM,0.02156522994275218
SGEN,0.009324737689868289
SIRI,0.04078265422605996
TMUS,0.008040652386648996
TSLA,0.020715612205068082
ULTA,0.009600975456865732
VRTX,0.0
WBA,0.012854255804551205
XEL,0.0
